personId,maxDate
37383395346505,2012-11-21
4398046517449,2010-11-30
32985348842801,2010-02-15
3218,2011-04-09
13194139536877,2011-02-15
19791209301549,2011-12-03
3366,2011-03-20
6597069776619,2012-03-27
6003,2010-10-22
6597069770262,2011-11-16
2199023264696,2010-09-27
28587302328309,2010-01-15
6597069769603,2011-06-04
21990232556426,2012-05-23
19791209303763,2010-01-30
2199023260212,2010-03-14
19791209301945,2010-05-17
35184372094132,2012-01-29
2199023259060,2012-03-02
9371,2012-12-09
10995116278530,2010-03-15
28587302329044,2010-05-14
15393162793717,2012-05-11
21990232557693,2010-12-02
4398046514176,2012-05-14
15393162798002,2012-08-25
17592186051103,2012-07-31
8796093030748,2011-12-13
13194139533742,2010-07-23
28587302332757,2011-01-09
5252,2010-03-19
17592186044726,2010-09-17
8796093031798,2011-01-04
19791209307499,2010-10-14
2199023263724,2010-05-16
15393162790162,2011-05-06
32985348839181,2012-09-06
37383395349625,2012-05-27
24189255813906,2010-03-09
30786325587391,2012-03-24
24189255818910,2012-04-25
15393162793760,2012-06-25
35184372092820,2011-02-23
2199023258976,2010-04-25
17592186048311,2012-07-14
21990232562754,2011-01-31
19791209302774,2010-11-30
24189255818842,2010-10-11
15393162796560,2011-05-17
17592186050809,2010-03-11
24189255812829,2012-07-31
4398046520497,2010-02-09
501,2011-05-30
13194139540341,2011-01-10
32985348834863,2012-04-04
21990232559185,2010-03-21
8796093026854,2011-11-08
5247,2012-08-24
5878,2012-12-29
10995116288201,2011-11-16
2199023261413,2012-12-03
4398046514495,2010-10-08
26388279076344,2011-11-12
10995116285720,2012-05-26
21990232557382,2010-12-27
13194139538691,2012-11-10
32985348839250,2011-05-26
37383395350128,2012-04-12
4398046514356,2011-10-06
26388279073505,2012-09-21
32985348842198,2010-05-31
37383395354531,2011-04-03
15393162794203,2012-05-22
32985348841204,2012-10-05
2199023255792,2012-01-27
6597069774986,2012-01-27
24189255819001,2012-10-10
10995116280994,2010-07-12
13194139541442,2011-12-24
30786325580673,2012-08-10
30786325578118,2012-12-17
2199023257152,2012-02-27
13194139537745,2011-06-12
21990232561862,2011-12-09
1933,2012-10-02
17592186046377,2010-11-02
15393162798303,2012-12-20
21990232559245,2010-02-11
37383395351427,2012-04-16
15393162794743,2012-01-23
13194139536128,2011-02-20
24189255811514,2011-07-20
21990232565874,2012-09-30
28587302332596,2011-05-11
1065,2010-10-10
15393162790530,2011-06-20
35184372089098,2012-01-12
28587302324468,2011-07-26
17592186050063,2012-09-13
4398046513367,2012-05-28
