person1Id,person2Id
32985348841246,4398046512258
35184372098571,28587302330278
10995116284589,19791209306915
30786325578529,440
8796093032460,8796093028043
37383395349175,28587302327032
30786325588012,13194139539254
10995116287415,10995116284717
19791209310126,6597069769230
4398046517905,15393162796493
15393162789901,6686
26388279074288,24189255815317
6597069770995,6597069769448
17592186051703,17592186050665
26388279073436,24189255817062
35184372096244,24189255819756
2473,28587302324452
26388279073214,37383395351563
32985348843454,8796093029302
26388279074055,4398046513480
19791209303808,17592186050392
37383395347700,26388279073086
6597069775747,26388279074192
30786325581729,13194139534446
28587302322267,17592186050367
24189255811759,4398046513439
28587302322648,24189255819317
2529,10995116281783
24189255821634,4398046520667
4398046515058,19791209307774
8018,15393162794550
10995116283917,37383395353893
17592186047016,32985348835634
37383395354409,13194139533825
30786325581647,17592186053760
19791209302150,10995116283553
4398046517016,21990232558438
35184372090151,35184372094279
26388279070481,6597069775596
32985348833336,30786325585120
30786325580572,35184372089372
30786325586494,8796093023690
2199023265489,21990232557978
2199023266159,1810
32985348842292,17592186045852
32985348834963,35184372092254
30786325579938,13194139535996
10995116284520,30786325583660
35184372092938,24189255818573
9693,37383395354322
37383395352724,1537
4398046519866,17592186053461
30786325581183,10995116279356
35184372098030,35184372092945
2199023265271,24189255818972
6597069770934,30786325586698
2199023264013,4398046521197
10995116287608,28587302324853
10995116279088,6597069773330
37383395353297,17592186045209
13194139542722,261
26388279075939,26388279072624
10995116287675,35184372091845
35184372092916,21990232563572
4398046513349,8796093022875
15393162791723,35184372090743
19791209302435,35184372091393
37383395345487,26388279076501
21990232560941,30786325578763
8796093025259,2199023261999
17592186053636,8796093024358
30786325583430,10995116284212
35184372094374,2835
28587302326303,2199023257850
9910,24189255816269
3470,19791209307514
28587302326708,2199023263360
17592186045799,32985348837316
6552,35184372093343
8796093024004,2199023256486
17592186050367,24189255814788
6597069777249,37383395347880
17592186052462,32985348839218
24189255820950,26388279068077
17592186055017,13194139543621
37383395352602,26388279075800
19791209303126,5074
17592186052644,8796093025274
17592186047045,15393162797599
8796093030184,21990232562522
5619,2199023259496
35184372090208,2199023265485
26388279072670,32985348842292
28587302326617,4398046516763
10995116287818,35184372090151
13194139542992,13194139535035
10995116285911,17592186046932
4398046512897,35184372094716
8796093030849,15393162792039
2199023265966,13194139535397
