personId,month
6597069772904,7
28587302331271,3
19791209303105,7
6597069774335,7
6597069775596,9
13194139543115,8
13194139540244,2
10995116288121,8
17592186053889,4
24189255819695,3
28587302331514,8
4398046517297,6
21990232561368,7
6597069768560,12
13194139535835,12
6444,2
8796093030536,3
30786325583658,2
24189255811514,3
21990232562348,7
8796093029753,8
28587302329647,5
19791209306818,8
4398046517371,12
32985348841482,4
35184372095092,8
2659,1
28587302322295,12
13194139541899,6
8375,9
19791209309078,1
8796093029438,2
19791209301422,9
24189255819844,4
8796093027315,7
28587302327126,10
2199023264171,2
13194139535349,11
19791209308541,6
32985348841047,11
2199023259467,6
6597069769395,9
35184372096446,1
10995116285564,1
32985348838032,12
28587302324117,2
26388279067812,12
19791209305973,11
21990232556897,6
37383395353805,11
4398046511886,3
2199023257490,7
17592186046008,3
2199023261007,6
30786325580165,10
28587302329206,3
32985348833564,6
2199023264340,5
4398046514784,7
30786325581069,11
15393162793718,3
28587302322882,2
26388279072658,10
30786325586856,7
37383395348692,7
32985348842062,8
37383395349067,1
28587302327861,11
15393162791606,3
17592186051500,11
24189255813087,3
19791209307174,4
24189255818627,12
13194139533902,3
19791209301471,5
19791209303197,9
10995116279682,5
32985348834784,3
6597069776180,5
4398046516668,3
8796093027770,3
26388279074382,11
6597069767964,11
6597069774537,5
21990232565178,5
35184372095553,7
2199023256188,6
6597069770085,4
19791209302454,7
6306,1
26388279074683,7
24189255814147,1
26388279073122,9
17592186049625,1
2199023260693,4
21990232557426,4
15393162791208,2
30786325580142,9
28587302330099,4
30786325578968,2
