personId,countryName,workFromYear
28587302327676,Nepal,2000
2199023257356,Puerto_Rico,2010
19791209302990,Colombia,2013
32985348837880,Greece,2012
24189255814191,United_Kingdom,2005
8796093029158,Rwanda,1999
21990232561902,Senegal,2005
2199023259378,Morocco,2009
15393162798198,Spain,2011
13194139536784,Azerbaijan,2006
2435,Laos,2003
2199023263285,Kazakhstan,2013
24189255816386,Laos,2004
2199023262165,Chile,2004
32985348834784,Belarus,2009
10995116278898,Nepal,2011
17592186050044,Namibia,2009
6597069776619,Yemen,2002
6597069774007,Cameroon,2002
17592186050044,Chad,2003
30786325584893,Russia,2000
6597069769057,Liberia,2006
13194139541011,Bulgaria,2010
8796093027770,Romania,2005
10995116284810,South_Africa,2004
17592186048570,New_Zealand,2010
19791209306582,Poland,2000
6597069768076,Jordan,2004
10995116279347,Norway,2005
28587302325008,Belgium,2003
32985348833547,Libya,2008
19791209300331,Malta,2012
17592186053088,Netherlands,2006
16,Tunisia,2012
21990232557263,Malaysia,1999
37383395346338,Ethiopia,2002
21990232557015,United_Kingdom,2009
35184372091853,Malaysia,2004
30786325578931,Morocco,1998
2199023266066,Estonia,2009
35184372096639,Dominican_Republic,1999
26388279077079,Estonia,2009
21990232563572,Latvia,2001
21990232564832,Northern_Ireland,2008
32985348837604,Czech_Republic,2012
837,Taiwan,2006
30786325582405,Austria,1998
6597069770843,Azerbaijan,1999
8796093022985,Taiwan,1999
35184372095553,Finland,2011
15393162797453,Nicaragua,2007
2199023255889,Portugal,2007
35184372097262,Singapore,1998
37383395352046,Spain,2001
35184372094117,Chad,2005
35184372091739,Austria,2007
26388279076344,Senegal,2000
9615,Burma,2013
24189255817544,Cameroon,2011
19791209306391,United_States,2011
17592186053656,Papua_New_Guinea,2006
4398046511886,Bosnia_and_Herzegovina,2004
15393162796369,Finland,2009
37383395345943,Azerbaijan,1998
4966,Algeria,2001
15393162792851,Canada,2004
26388279069787,Norway,2002
21990232561837,Angola,2013
15393162791723,France,2009
24189255817587,Indonesia,2005
28587302329553,Ukraine,2013
24189255815118,Mongolia,2005
6597069767437,Malta,2001
26388279076555,Kazakhstan,2012
13194139534670,Czech_Republic,2004
4398046512623,Peru,2002
28587302329569,Laos,2003
8796093022875,Denmark,2013
32985348843778,Oman,2010
28587302324853,Papua_New_Guinea,2003
8796093024163,Slovakia,2004
17592186046515,Poland,2006
2715,Slovenia,2005
32985348843443,Oman,2001
2199023261692,Burma,1999
24189255819844,Scotland,2000
19791209300605,New_Zealand,2000
8796093028095,Italy,2000
19791209306643,Japan,2001
21990232565643,Tunisia,2013
6597069774507,Liberia,1998
37383395348353,Papua_New_Guinea,2001
26388279074552,Finland,1999
6597069768258,United_States,2009
30786325581167,Tanzania,2005
13194139539554,Kenya,2002
35184372098712,Burma,2002
8796093027127,Iran,2003
30786325582116,Slovakia,2007
28587302329055,Libya,2009
