personId,startDate,durationDays
17592186045808,2011-10-12T00:00:00+00:00,28
32985348843335,2012-03-05T00:00:00+00:00,10
4398046521068,2011-10-23T00:00:00+00:00,24
26388279069864,2012-01-05T00:00:00+00:00,24
13194139539195,2012-05-10T00:00:00+00:00,15
21990232560456,2011-09-22T00:00:00+00:00,12
15393162793426,2011-02-15T00:00:00+00:00,17
21990232562309,2011-10-12T00:00:00+00:00,25
28587302330052,2011-12-14T00:00:00+00:00,23
32985348837188,2012-12-26T00:00:00+00:00,28
8796093030492,2010-10-05T00:00:00+00:00,19
28587302327433,2011-01-27T00:00:00+00:00,22
15393162795309,2011-06-29T00:00:00+00:00,17
35184372091451,2012-10-04T00:00:00+00:00,13
35184372098287,2011-08-15T00:00:00+00:00,24
37383395351906,2012-05-01T00:00:00+00:00,29
37383395352900,2012-09-06T00:00:00+00:00,23
37383395351425,2011-09-12T00:00:00+00:00,19
32985348843454,2011-07-02T00:00:00+00:00,13
17592186050405,2012-06-29T00:00:00+00:00,28
8796093032547,2010-06-16T00:00:00+00:00,22
15393162796843,2011-06-09T00:00:00+00:00,28
17592186047514,2011-10-12T00:00:00+00:00,21
6597069767319,2012-01-25T00:00:00+00:00,30
35184372093191,2012-09-29T00:00:00+00:00,12
37383395351195,2011-10-12T00:00:00+00:00,17
19791209302448,2011-03-27T00:00:00+00:00,23
37383395354034,2012-09-12T00:00:00+00:00,13
28587302330125,2012-01-29T00:00:00+00:00,23
28587302326603,2012-06-24T00:00:00+00:00,24
35184372093552,2012-01-10T00:00:00+00:00,17
30786325583457,2011-07-09T00:00:00+00:00,13
26388279069846,2012-01-05T00:00:00+00:00,27
21990232562157,2012-05-03T00:00:00+00:00,26
26388279074607,2011-10-12T00:00:00+00:00,19
19791209302532,2011-10-03T00:00:00+00:00,19
15393162793949,2011-01-15T00:00:00+00:00,14
32985348843830,2012-09-26T00:00:00+00:00,24
26388279073680,2011-02-15T00:00:00+00:00,19
19791209304631,2011-07-02T00:00:00+00:00,20
28587302327441,2011-01-29T00:00:00+00:00,21
30786325587579,2011-07-29T00:00:00+00:00,15
17592186047124,2012-04-09T00:00:00+00:00,10
30786325587398,2012-06-25T00:00:00+00:00,20
28587302330619,2012-06-01T00:00:00+00:00,18
2199023264745,2011-02-15T00:00:00+00:00,18
19791209302088,2012-05-12T00:00:00+00:00,27
28587302329901,2011-08-09T00:00:00+00:00,22
35184372093137,2012-06-01T00:00:00+00:00,30
6095,2012-09-11T00:00:00+00:00,30
19791209310226,2011-04-01T00:00:00+00:00,11
21990232562692,2011-06-15T00:00:00+00:00,13
19791209301852,2012-05-14T00:00:00+00:00,20
30786325585738,2012-03-07T00:00:00+00:00,19
4398046521141,2012-09-29T00:00:00+00:00,24
10995116285575,2012-09-04T00:00:00+00:00,12
15393162791508,2011-06-26T00:00:00+00:00,12
13194139533783,2011-01-01T00:00:00+00:00,24
24189255820136,2012-08-03T00:00:00+00:00,29
21990232557678,2011-04-19T00:00:00+00:00,25
2199023261264,2012-02-23T00:00:00+00:00,14
37383395348700,2010-08-28T00:00:00+00:00,20
30786325587945,2011-10-21T00:00:00+00:00,21
19791209305808,2012-01-22T00:00:00+00:00,15
13194139539518,2011-01-15T00:00:00+00:00,17
37383395349000,2012-08-15T00:00:00+00:00,27
8796093027820,2010-06-16T00:00:00+00:00,23
17592186050581,2011-11-15T00:00:00+00:00,12
15393162791055,2012-05-10T00:00:00+00:00,12
19791209301598,2012-10-07T00:00:00+00:00,27
35184372089442,2012-01-13T00:00:00+00:00,10
26388279075178,2011-07-28T00:00:00+00:00,19
28587302331001,2012-06-25T00:00:00+00:00,15
6597069770822,2011-05-03T00:00:00+00:00,28
30786325584057,2012-02-07T00:00:00+00:00,25
37383395353673,2012-10-15T00:00:00+00:00,26
13194139538613,2011-01-11T00:00:00+00:00,19
37383395354620,2012-10-10T00:00:00+00:00,12
17592186046801,2011-02-15T00:00:00+00:00,11
37383395353628,2012-05-15T00:00:00+00:00,16
28587302327572,2012-02-21T00:00:00+00:00,19
32985348835501,2012-10-01T00:00:00+00:00,12
17592186047135,2012-02-21T00:00:00+00:00,26
6597069773383,2011-04-22T00:00:00+00:00,26
28587302324365,2012-09-08T00:00:00+00:00,23
30786325582700,2012-11-24T00:00:00+00:00,10
26388279069077,2012-01-05T00:00:00+00:00,14
30786325588198,2012-06-26T00:00:00+00:00,20
24189255813722,2012-08-27T00:00:00+00:00,24
17592186044838,2011-04-27T00:00:00+00:00,23
21990232562526,2012-01-24T00:00:00+00:00,23
28587302331402,2011-04-14T00:00:00+00:00,29
24189255813846,2011-08-10T00:00:00+00:00,29
30786325584035,2012-08-01T00:00:00+00:00,26
28587302325881,2011-12-25T00:00:00+00:00,22
10995116283553,2011-02-14T00:00:00+00:00,16
28587302327189,2012-07-07T00:00:00+00:00,19
35184372091451,2012-10-04T00:00:00+00:00,10
8796093026865,2010-10-11T00:00:00+00:00,22
24189255813721,2012-05-02T00:00:00+00:00,13
