personId,tagClassName
30786325587885,BaseballPlayer
6597069770287,SportsTeamMember
6597069771139,Actor
8796093028192,Model
32985348842359,Comedian
17592186047795,Song
4398046517067,Senator
8113,ComicsCreator
6597069774159,Royalty
8796093023260,Comedian
2199023261398,MartialArtist
32985348834098,Wrestler
24189255814598,MusicalArtist
4398046519464,SoccerPlayer
13194139539955,Wrestler
21990232563202,OfficeHolder
19791209301023,FictionalCharacter
37383395349513,Astronaut
26388279073715,Song
17592186051871,FictionalCharacter
37383395347254,SoccerManager
6597069774403,GridironFootballPlayer
30786325582938,PopulatedPlace
32985348842635,OrganisationMember
13194139541560,Scientist
6597069775344,ChristianBishop
13194139540435,Person
8796093024246,Cleric
32985348835600,BaseballPlayer
37383395346171,SoccerPlayer
8796093026865,CollegeCoach
21990232559935,SnookerPlayer
2199023263600,PopulatedPlace
37383395353535,Judge
26388279071554,Congressman
32985348838348,EurovisionSongContestEntry
2199023261348,Wrestler
10995116286748,Politician
2857,SoccerPlayer
6120,MusicalWork
13194139535215,Cricketer
2199023263058,SnookerPlayer
8796093028986,Model
32985348837078,AdultActor
13194139543762,BaseballPlayer
28587302322286,GolfPlayer
30786325579686,Scientist
32985348835576,Judge
2199023261420,Judge
8796093026846,EurovisionSongContestEntry
30786325580942,Chancellor
4398046514114,Criminal
17592186053607,Single
4676,ComicsCharacter
26388279076565,Song
10995116281369,Actor
30786325584400,Country
37383395349392,Actor
19791209309401,EurovisionSongContestEntry
8796093023031,Philosopher
4398046519550,Work
19791209300224,ChristianBishop
4398046511775,BasketballPlayer
32985348835467,Album
6389,Architect
24189255818649,Work
32985348836567,Scientist
21990232559571,Agent
32985348836171,Monarch
19791209307548,Chancellor
19791209305425,Artist
21990232559458,SportsTeamMember
19791209301675,Work
13194139540541,Country
2199023263676,MilitaryPerson
10995116280598,ChristianBishop
28587302324983,TennisPlayer
24189255818153,Wrestler
6714,BritishRoyalty
32985348842070,MusicalArtist
32985348841078,SnookerChamp
26388279073703,Song
24189255811225,SnookerPlayer
4398046518040,Place
8796093023881,Judge
4398046516485,Comedian
37383395346692,Philosopher
30786325588173,SportsTeamMember
8456,Song
8796093029726,Scientist
8796093022830,President
6597069771425,Place
24189255817906,MusicalArtist
37383395349900,MusicalWork
30786325585060,SnookerPlayer
32985348833385,Saint
10995116279128,Congressman
4398046519574,Scientist
21990232564135,Cyclist
21990232558201,PopulatedPlace
