personId,minDate
6597069773645,2011-08-10T00:00:00+00:00
26388279071774,2012-08-31T00:00:00+00:00
2199023255907,2011-07-28T00:00:00+00:00
28587302327512,2012-11-11T00:00:00+00:00
6597069774335,2012-05-09T00:00:00+00:00
6597069770945,2012-10-31T00:00:00+00:00
15393162793426,2012-11-29T00:00:00+00:00
15393162792918,2011-07-29T00:00:00+00:00
28587302331402,2012-07-24T00:00:00+00:00
2199023262937,2011-12-16T00:00:00+00:00
17592186051723,2011-08-08T00:00:00+00:00
6597069774821,2011-11-08T00:00:00+00:00
21990232565010,2012-07-23T00:00:00+00:00
35184372094812,2012-11-12T00:00:00+00:00
30786325584264,2012-10-12T00:00:00+00:00
10995116286920,2012-03-30T00:00:00+00:00
8796093031050,2012-12-28T00:00:00+00:00
32985348841917,2012-10-12T00:00:00+00:00
35184372096029,2012-06-21T00:00:00+00:00
15393162793477,2010-10-23T00:00:00+00:00
17592186054970,2012-08-17T00:00:00+00:00
30786325578583,2012-07-25T00:00:00+00:00
28587302325374,2012-09-09T00:00:00+00:00
10995116278803,2012-08-17T00:00:00+00:00
19791209309948,2012-12-19T00:00:00+00:00
37383395350417,2012-05-21T00:00:00+00:00
30786325587682,2012-12-16T00:00:00+00:00
32985348840163,2012-01-14T00:00:00+00:00
19791209310106,2011-08-10T00:00:00+00:00
15393162792097,2012-12-06T00:00:00+00:00
30786325585391,2012-11-20T00:00:00+00:00
30786325582767,2012-11-19T00:00:00+00:00
21990232561368,2012-07-16T00:00:00+00:00
21990232556858,2012-07-01T00:00:00+00:00
30786325585258,2012-11-05T00:00:00+00:00
13194139541572,2012-04-11T00:00:00+00:00
8796093027504,2012-10-21T00:00:00+00:00
21990232560382,2012-03-10T00:00:00+00:00
24189255816221,2012-05-10T00:00:00+00:00
17592186047842,2012-10-08T00:00:00+00:00
15393162796803,2012-11-25T00:00:00+00:00
32985348834066,2012-03-31T00:00:00+00:00
13194139540344,2012-11-06T00:00:00+00:00
17592186048749,2012-11-03T00:00:00+00:00
26388279071603,2011-07-14T00:00:00+00:00
37383395354422,2012-05-21T00:00:00+00:00
37383395345929,2012-07-27T00:00:00+00:00
32985348838240,2012-06-20T00:00:00+00:00
17592186051103,2012-10-30T00:00:00+00:00
2199023261649,2012-08-24T00:00:00+00:00
21990232556962,2012-07-23T00:00:00+00:00
37383395349225,2012-09-10T00:00:00+00:00
15393162791154,2012-09-09T00:00:00+00:00
10995116286166,2012-07-14T00:00:00+00:00
6597069768340,2012-12-25T00:00:00+00:00
35184372099135,2012-08-27T00:00:00+00:00
21990232558818,2011-07-15T00:00:00+00:00
26388279073722,2012-11-20T00:00:00+00:00
32985348840327,2011-01-07T00:00:00+00:00
30786325579844,2012-07-04T00:00:00+00:00
26388279070923,2011-09-15T00:00:00+00:00
21990232560747,2012-03-22T00:00:00+00:00
28587302330491,2012-11-12T00:00:00+00:00
10995116287167,2012-12-24T00:00:00+00:00
2199023261320,2011-12-08T00:00:00+00:00
21990232564620,2012-12-09T00:00:00+00:00
19791209308379,2012-12-05T00:00:00+00:00
35184372095202,2012-12-03T00:00:00+00:00
30786325578875,2011-12-18T00:00:00+00:00
17592186049517,2012-05-09T00:00:00+00:00
30786325583545,2012-07-16T00:00:00+00:00
15393162798303,2012-12-29T00:00:00+00:00
35184372095846,2012-12-11T00:00:00+00:00
21990232564536,2012-09-22T00:00:00+00:00
10995116281274,2011-04-13T00:00:00+00:00
19791209300866,2012-06-19T00:00:00+00:00
26388279073167,2012-07-03T00:00:00+00:00
35184372099063,2011-11-13T00:00:00+00:00
2199023255907,2012-01-25T00:00:00+00:00
19791209304034,2012-09-19T00:00:00+00:00
30786325585391,2012-06-15T00:00:00+00:00
37383395346298,2012-07-18T00:00:00+00:00
35184372093307,2012-12-06T00:00:00+00:00
37383395347658,2012-04-07T00:00:00+00:00
32985348842635,2012-01-17T00:00:00+00:00
13194139541599,2011-09-14T00:00:00+00:00
8796093023645,2012-12-07T00:00:00+00:00
26388279069551,2012-12-06T00:00:00+00:00
17592186045208,2012-09-03T00:00:00+00:00
28587302329684,2011-06-26T00:00:00+00:00
24189255818939,2012-10-03T00:00:00+00:00
28587302330494,2012-05-03T00:00:00+00:00
19791209302454,2012-10-06T00:00:00+00:00
26388279067780,2012-11-26T00:00:00+00:00
19791209306718,2012-12-20T00:00:00+00:00
13194139539463,2012-03-14T00:00:00+00:00
21990232558442,2011-10-23T00:00:00+00:00
13194139538988,2012-09-28T00:00:00+00:00
30786325586455,2012-07-27T00:00:00+00:00
15393162792416,2010-12-29T00:00:00+00:00
