personId,tagName
15393162790364,Joe_Montana
8796093032196,Maria_Elena_Camerin
24189255816872,Lothar_Matthäus
24189255819188,Case_of_the_Ex
35184372095569,Milton_Friedman
32985348840530,Black_Sabbath_Vol._4
26388279072795,Jerk_It_Out
35184372095593,Augustus_II_the_Strong
6597069770986,Grown-Up_Christmas_List
32985348835785,Is_There_Anybody_Out_There?
4398046512698,Kingdom_of_Sicily
19791209304951,Benin
21990232556830,Russian_Soviet_Federative_Socialist_Republic
28587302326540,Ella_Fitzgerald_Sings_Songs_from_Let_No_Man_Write_My_Epitaph
32985348838192,Pope_Julius_II
2199023261943,Geogaddi
3819,Strange_Magic
15393162790789,Ed_Rendell
8796093030822,Live_in_Chicago_12.19.98_at_the_United_Center
32985348838154,Rubén_Ramírez_Hidalgo
4398046521401,Best_of_Bowie
8796093032304,Cloudbusting
30786325587975,John_Conyers
19791209302134,John_Edwards
17592186055017,Lady_Jane_Grey
19791209307795,Black_Country_Woman
19791209302125,Henri_Matisse
32985348836251,Robert_Browning
15393162793397,My_Prayer
21990232561740,Van_Morrison_at_the_Movies_–_Soundtrack_Hits
24189255818927,Land_of_the_Free?
35184372097716,Dick_Van_Dyke
26388279075503,Happiness_in_Slavery
19791209302345,Joseph_Bonaparte
17592186046295,Hold_on_My_Heart
21990232564056,Voice_of_the_Heart
17592186052712,Getting_Better
28587302322751,Over-Nite_Sensation
17592186050103,Al_di_là
32985348838743,Gwyneth_Paltrow
6597069769336,The_Way_Young_Lovers_Do
35184372092478,Beat_Dis
10995116281191,Jimmy_Doolittle
37383395354482,Ferdinand_II_of_Aragon
37383395349135,Republic_of_the_Congo
30786325582240,The_Saga_Begins
13194139535215,Synkronized
1851,Jane_Russell
4478,Arriving
13194139542065,Pleasant_Valley_Sunday
4398046514464,Dark_Was_the_Night
2199023259811,Always_Where_I_Need_to_Be
15393162796566,Oliver_Reed
32985348837730,Edward_Coke
32985348840951,Benicio_del_Toro
32985348842359,Funky_Divas
8796093028037,Prisoners_in_Paradise
28587302322571,Mark_Wahlberg
15393162791533,No_Good_Advice
28587302322196,Who_Made_Who
13194139542917,Given_to_Fly
13194139535929,With_Arms_Wide_Open
15393162798893,Most_Girls
35184372097296,William_Bligh
19791209301094,Thomas_More
10995116284752,Ice_Cube
28587302322267,When_Love_Comes_to_Town
6597069775058,Que_País_É_Este
8796093031350,Blame_It_on_the_Rain
4398046511386,Hell-O
35184372094582,Du_hast
28587302324723,Dream_of_Life
37383395354409,Pencil_Thin_Mustache
32985348834199,Moves_Like_Jagger
24189255811742,Augustus_Welby_Northmore_Pugin
30786325579774,Free_Territory_of_Trieste
17592186044839,This_Kiss
15393162791150,Czech_Republic
10995116285710,Paul_McGann
4398046520672,Harold_Prince
13194139537020,Dennis_Hopper
4398046514382,Edvard_Grieg
10995116284701,Eliot_Spitzer
21990232556419,United_Nations_Transitional_Administration_in_East_Timor
32985348841042,Spanish_Florida
21990232565874,Pedro_I_of_Brazil
28587302326708,We_Fly_High
26388279069299,George_P._Shultz
32985348838860,Abbey_Road
15393162795897,Year_of_the_Dog..._Again
28587302328636,James_Gandolfini
26388279067812,Confessions_Part_II
28587302331489,The_Greatest_Man_I_Never_Knew
2199023257206,No_Stress
35184372091393,John_Krasinski
10995116283883,Michael_Chabon
10995116283030,I_Wish_You_Would
13194139538152,Closer_to_Home
19791209307174,Greg_Norman
19791209308580,King_of_Skiffle
