person1Id,person2Id
30786325579133,17592186044883
26388279069992,21990232556253
3096,32985348833501
4398046517676,30786325580127
32985348838410,30786325585831
32985348833291,30786325580915
35184372096446,17592186048763
13194139539922,8796093032271
10995116283026,28587302330561
30786325581481,10995116286827
13194139534229,4398046514104
19791209305966,37383395354529
10995116287043,8316
6597069769057,1810
4398046519471,7449
32985348839723,37383395351928
28587302323528,17592186047105
13194139539646,8796093027370
32985348842559,2199023265966
10995116285333,8796093032304
21990232556222,19791209300262
4398046512095,26388279068973
4398046512668,26388279074895
32985348841991,13194139539343
8796093023082,30786325578233
32985348843823,15393162796038
15393162793599,9250
2199023256518,6597069775278
35184372093069,10995116285454
37383395348469,4398046516877
10172,37383395353132
28587302328912,21990232559620
19791209305742,6597069768341
2199023256479,13194139534048
32985348833841,35184372092218
30786325581633,37383395347315
32985348841016,26388279071152
30786325582071,13194139543346
28587302327199,37383395353360
17592186044582,24189255811379
35184372090055,26388279077183
37383395348013,6597069767973
6597069773138,8796093023296
26388279074552,24189255820729
4398046516814,15393162794219
32985348838338,10995116282366
13194139537332,17592186053173
4398046512801,19791209303330
35184372094475,15393162798660
26388279075222,26388279073539
8796093027633,15393162788899
681,32985348837598
17592186050748,10995116278469
13194139543684,19791209304449
10995116285911,26388279074506
17592186050685,13194139540344
26388279070190,15393162793696
10995116283553,8796093025392
4207,19791209304373
37383395349625,26388279068253
21990232563803,28587302326875
21990232565087,28587302323238
30786325580265,19791209304631
15393162797371,26388279068465
2199023264887,24189255813482
5619,8796093023198
7931,24189255814548
28587302324723,35184372091853
32985348842672,21990232562220
8796093023811,17592186047040
19791209301040,15393162793611
26388279073715,6597069769502
28587302328389,6597069771943
2199023263810,19791209304901
13194139543681,30786325581317
35184372090954,6597069768164
30786325578687,15393162793557
32985348837297,19791209308176
19791209306860,10995116286746
30786325583386,35184372093754
21990232561154,4398046513986
35184372094784,32985348840025
30786325580325,28587302330216
13194139543681,6597069770240
10995116283417,24189255820959
2199023259811,30786325578875
26388279073539,24189255820326
37383395351030,4398046518392
17592186051684,17592186048395
17592186052481,13194139540142
15393162790653,8749
6597069774507,2199023260145
8796093023235,15393162791409
30786325581627,21990232561382
13194139534081,10995116287818
26388279069478,35184372097527
30786325585720,28587302331683
4105,35184372098571
19791209304034,24189255818777
4398046513640,13194139539295
